Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Baghpat,11192,10283,9788,10409,11804,8744,10573,8882,8764,12057,11780,9898,10486,10637,9965,12010,11130,12998,11445,10527,14052,16577,21411,21416,26613,36338,33999,36101,32506,34244,39230
Bahraich,1982,1526,2138,3491,2180,1924,1316,1597,2773,3087,2942,995,1480,1463,1741,3573,3952,3266,3749,4084,1048,1380,32294,33985,33969,45403,46397,48149,45750,46523,48786
Ballia,11612,15745,13289,11876,12920,5160,8615,3554,4836,12000,6627,5105,4793,5076,4371,6139,6644,5081,6127,7601,6833,7864,35549,35916,40499,59139,62547,70762,73502,71683,80004
Balrampur,3738,3638,3396,6087,3864,2982,3702,3514,3644,5171,4454,2665,3384,3256,3431,9031,6453,10381,7117,6250,3617,4444,28005,31184,35037,42078,41980,43615,41800,44873,47330
Banda,3147,4324,4254,5135,5214,5080,5859,5927,7263,5623,7506,8277,8295,5613,5877,10383,6770,4469,9272,8274,7553,8506,41921,42495,44432,54398,53403,54598,52087,54993,60855
Barabanki,7736,9036,10429,12236,9760,8025,10273,8174,13969,16438,15322,10902,11635,9992,11230,21091,19215,19830,19561,19427,19196,20319,53176,54523,56985,77669,77482,79925,76542,78023,86748
Bareilly,16429,17204,18127,22077,21200,18113,19654,17430,19646,23076,20838,16586,22202,21650,24456,29097,28752,23049,28139,24580,26660,25963,55720,56369,60749,77476,74724,80327,80651,86550,92485
Basti,5937,8513,7629,9796,7872,7896,10234,10181,11946,10126,8628,7187,10734,10252,9934,14079,8731,13345,15671,18111,11286,11511,30959,32774,38855,47928,45650,46756,44114,45443,48404
Bijnor,17258,18931,19957,23515,23190,17228,23446,14522,17363,26022,16586,10591,17647,15468,14403,25108,21454,18671,25140,19819,20949,19205,53173,55897,60724,82851,73544,74956,68222,73165,79979
Budaun,6919,6388,8140,11079,12104,4649,9164,3493,6738,10180,4583,4581,14815,8212,11049,10421,7540,4953,7370,9575,7666,6430,44048,46705,49023,65125,60610,65527,64385,67249,70072
Bulandshahr,25466,25652,24382,27021,27166,15780,24114,19969,18982,30824,25956,19027,18923,18724,18522,23622,22920,18973,23573,25893,37756,35003,54618,58218,66013,87571,82627,87386,85863,89590,96433
Chandauli,10195,10171,9475,10240,11547,7241,11324,9063,10792,10959,8105,7019,8386,7372,7215,10290,10141,8789,12643,16308,17022,13234,33192,33359,34097,47639,52303,54229,52255,52344,56811
Chitrakoot,1573,1768,1922,2523,2921,2542,3606,3211,4537,3577,4401,4291,5327,4409,3979,6949,3887,2707,4333,4776,4572,6611,27784,28405,29340,35398,35217,36405,34252,36133,39603
Deoria,7519,12223,11248,12963,12424,4925,9035,4433,9074,10344,9245,7193,4891,7475,10452,6132,8176,5277,9061,9703,10383,14642,31726,32043,34517,49358,53714,60943,56334,55774,59343
Etah,4521,4215,6992,8163,5362,2981,4683,3080,4927,5833,6091,6615,8927,6482,5887,9115,8656,7862,9316,9662,12269,10727,28659,29391,31756,41420,40912,45307,42584,45547,47195
Etawah,5610,5410,8073,10737,8451,6376,8226,7675,7131,8064,7324,8026,16449,15657,17911,16294,11725,12520,13375,16732,27384,30785,47954,50786,55078,57249,56143,57639,53136,53073,52736
Faizabad,11800,13029,12603,14802,14653,13282,14184,14211,15928,17405,13459,8259,11706,12618,12539,13941,8683,11012,13002,12534,12514,10605,28364,29620,33653,42122,41844,42379,40379,42096,45381
Farrukhabad,6149,5852,7174,9711,9689,6262,8646,7805,9402,9529,6893,5130,3825,3870,4901,7917,6152,6288,8618,7424,5753,5086,23718,24138,25871,32796,33830,34129,33839,35469,38316
Fatehpur,6063,7311,8865,7940,8059,5742,7243,4639,9633,8535,8860,8121,7402,6787,6639,9437,10231,8269,11519,10221,11685,11469,49150,47424,50234,63976,63779,65993,67226,67047,72486
Firozabad,14183,14456,16838,20351,21308,19446,21252,22396,24466,28637,23937,20963,29848,28315,28898,32446,28541,36982,31970,33867,38992,40466,60300,63512,65391,78023,76825,77837,72167,76197,78052
Gautam Buddha Nagar,18368,19234,18808,22167,24283,23762,25436,26389,28122,31941,33787,32553,35480,36375,37821,40926,41962,46507,46769,54113,57694,59127,65459,66800,67599,71116,71363,75803,74866,75530,78523
Ghaziabad,21279,20711,19566,21211,21855,19617,22959,21962,22459,25108,24024,24037,24942,25497,26356,27440,27535,28750,26947,30285,35844,34672,38731,39919,41733,46346,45032,48036,46684,48389,50629
Ghazipur,19811,19172,19480,21583,19808,7957,16542,5182,9523,15244,8767,4076,7494,5458,7485,8951,5227,5152,13705,13326,16553,10398,41706,41017,47943,66322,70510,73564,73360,72011,80624
Gonda,8320,8339,7318,14631,9625,7266,8413,7903,11615,14614,12306,7008,9585,9675,9995,20143,17144,16191,18363,16402,8547,13573,47105,48372,49700,66989,67424,69457,67564,67801,70107
Gorakhpur,15545,17839,18951,22732,22502,15442,20094,17661,22178,22304,21455,18628,18381,20027,22645,21322,21006,23707,26155,24662,24052,25996,52018,53180,60297,80670,84869,86909,80143,83373,95783
Hamirpur,2648,2999,3332,5301,4797,5330,5531,5218,7026,8055,10320,9098,9836,5587,5772,10098,7077,2963,11772,8396,6668,7082,41240,41568,41687,51597,52412,52904,49199,53241,57094
Hapur,12574,13226,12740,14823,14768,11657,13973,11655,11361,13555,12931,11057,12868,10970,11111,13752,12180,13251,13984,13384,16865,17040,26539,28022,29813,36255,34427,38288,37490,39687,43507
Hardoi,6144,5129,5746,8198,7096,5500,11366,16889,21923,18058,8212,4671,7004,6946,8591,16477,15452,9671,10764,15683,7618,7878,58909,60139,62277,79429,80796,85336,84805,87426,92515
Hathras,9054,9523,8243,8813,9396,8733,9915,8122,9440,11910,13147,11976,14423,13419,13545,15978,16426,18697,21692,23475,25989,19917,29479,29788,32261,38911,38527,39937,34840,35915,37422
Jalaun,8137,7032,8508,10006,12056,8492,11874,13636,15544,15033,17365,15968,15257,9232,13118,14748,12395,2897,10564,13062,10114,10292,45674,47213,49177,59432,60231,62606,59555,64875,67446
Jaunpur,22662,24897,20289,21546,18855,11393,17814,9409,14791,20828,15417,7315,7633,7925,9542,13688,8709,13708,18909,13952,14117,11296,47342,48168,55314,76665,76896,81414,86786,90584,99555
Jhansi,13875,16544,16169,19813,20044,16935,20517,20432,21052,23459,23155,20675,20877,19495,21016,24429,22665,22993,25344,24870,25710,25158,60191,63277,67036,76876,80049,84395,81347,87525,93406
Kannauj,3336,3875,4398,5255,5209,2237,4021,2915,4940,5182,5008,3487,10049,10458,10731,11226,5077,5326,5633,5292,13710,19532,31789,36764,37129,39418,38545,39150,37387,38747,41884
Kanpur Dehat,5351,6610,6855,9128,8792,6921,7926,8234,9249,9771,7886,7272,6398,5673,7479,9287,9373,7936,9167,8769,9462,10928,36794,38171,39213,48568,50242,53086,52352,55707,61501
Kanpur Nagar,24867,26366,25354,27685,27089,26073,26597,25059,28509,30197,28934,28003,27478,26512,27243,29744,29497,31754,31726,31361,31550,31333,52674,54487,55553,64618,67804,72807,71855,73984,78550
Kasganj,3371,3134,4556,5464,3396,1727,3146,2721,3864,4443,3827,4405,4612,1484,2149,3008,2655,1577,3781,2702,4735,3945,20485,21802,23774,31307,29010,31723,30496,30639,30982
Kaushambi,11026,11900,11950,14000,14134,14791,15757,13879,16183,16125,15288,14081,14906,14378,14288,18014,15660,16711,18758,17798,18664,20149,34265,35469,36679,44070,43708,45921,47264,47460,53241
Kushinagar,7033,8923,8136,12101,10753,8726,10145,5047,9453,10527,8698,7531,6144,7601,7277,6321,9149,7586,7888,7338,5483,10396,29772,30429,32967,42550,46730,51240,50252,50132,58810
Lakhimpur Kheri,10574,11790,17161,14985,17372,9319,15482,13202,15904,19457,14171,9195,11794,14623,14498,32724,33300,19711,25726,28884,16147,16059,76341,74846,82895,104305,104722,107532,103190,106170,112087
Lalitpur,2081,2729,2620,3335,3444,3361,4017,4102,5087,5946,5949,4767,5617,4608,4377,6683,5233,5564,7431,6140,6694,7891,44164,48864,49725,58593,57741,60952,57547,58625,61433
Lucknow,26826,28136,28746,33670,33670,33167,33607,36183,39819,40742,42100,41082,43854,44829,44901,49677,48306,54853,53363,59834,64238,64141,81623,86536,87031,94111,97630,99006,96151,98642,104943
Maharajganj,3513,4933,4733,6078,5115,3315,3653,2618,4195,5960,5346,7378,4992,2410,3745,4013,8042,4918,9142,5794,3748,5868,33309,32834,35971,47324,64395,49089,46181,48087,54640
Mahoba,1508,1904,1899,3028,3541,3274,3554,3487,4655,4123,4794,4152,4591,3457,4578,6735,5018,1598,6747,7839,7640,7632,27733,28803,31106,36995,39100,40031,35680,38815,41811
Mainpuri,5426,5383,8225,8789,7082,4801,7880,6420,7284,7103,5747,6205,13714,14527,17565,15729,9580,4994,10475,8954,23109,27977,44557,48004,50331,58628,57845,57293,52874,52502,55952
Mathura,17142,18845,20434,23455,25369,24176,25756,30513,32992,38914,35753,35949,38017,37372,35079,41524,42676,48413,42666,42260,53235,49071,64730,65409,66308,80508,81874,84815,80078,85094,93096
Mau,14301,14384,14773,17275,15919,7914,13189,7900,10603,12406,8982,4649,5901,5924,6525,10176,8129,4732,13015,18960,17303,12293,34716,34734,41046,52634,53134,58919,54482,52822,59844
Meerut,29157,27738,28812,32332,30947,29549,32457,27421,28352,33484,30539,27600,28437,28349,28972,33734,31758,33665,33122,34999,41306,41595,56119,58837,65497,80182,71494,75826,72305,77052,85540
Mirzapur,11195,12096,11250,12932,14208,12655,14183,9636,12290,14883,12238,8541,9187,8438,7933,11395,8327,10814,13059,13014,15140,13106,47406,48303,50321,71088,73966,78475,81006,85033,92467
Moradabad,10923,10091,11672,14286,14101,11287,13712,14199,15406,16994,15169,15141,19066,15180,19104,20979,18263,17351,20284,18582,22182,20748,36669,38379,42376,53939,48403,49681,48259,51838,55450
Muzaffarnagar,20779,18251,18196,20937,21661,14202,21086,17086,18443,24951,22076,19804,21792,20068,20712,25233,22265,24681,25450,25291,29530,32200,45315,47307,52089,66064,59186,61924,57924,62487,71954
Pilibhit,6138,6193,6526,5669,6044,3096,4857,4451,4457,6192,5737,3128,5122,5848,6678,10283,11463,4041,9107,6841,7114,6418,34168,33091,34892,46398,45328,46954,42986,46883,51767
Pratapgarh,12682,12801,13592,15743,19919,17873,19297,11539,15114,19041,12474,5657,6150,6732,6295,10029,6881,7966,13851,16618,17125,26836,45934,48414,53861,67527,66700,66733,69684,69650,74922
Rae Bareli,10817,10674,11988,12706,13933,11650,12407,9467,14988,14733,13275,10223,9345,9831,9421,14251,12251,10125,15139,10332,12468,18361,43983,44619,47556,62892,61835,62979,61002,59991,64354
Rampur,10626,8783,13110,14440,16339,10076,13501,10903,11883,15435,10217,8664,12321,10903,13769,17075,14635,12942,17801,18324,24081,22556,37984,38864,42356,54729,49213,51572,50482,54230,58608
Saharanpur,20950,21203,20230,20428,22730,15251,20430,17061,20120,26680,38132,37577,32921,23237,24223,37311,36626,38598,27451,29583,26062,26690,54625,57463,66045,82765,75502,77958,72575,81513,91869
Sambhal,5828,6134,8036,10220,10837,7047,9245,9162,8584,9635,7643,7883,12227,8636,11650,13178,10467,7883,10434,9559,12069,13809,29279,30148,34007,43887,41512,44600,41727,42490,44270
Sant Kabir Nagar,3827,4581,4457,5493,3534,2841,3343,5187,5761,3829,3630,1880,2968,2736,3581,3428,2868,6821,6457,6922,3149,6685,15398,16039,17986,22167,22776,23194,20979,22393,24747
Sant Ravi Das Nagar,8232,9311,8400,9229,8565,8516,10501,7168,8383,9282,6953,6200,6695,7450,7023,8793,6600,8754,8052,9511,10890,9243,15966,15743,17378,24846,25711,28236,29046,32339,36446
Shahjahanpur,8286,7324,11281,10853,12905,7831,13138,11704,11522,13742,10813,7893,9552,10105,9244,18147,19405,14501,18460,17175,15706,14102,53216,53869,56471,70097,70925,75561,74545,77038,84070
Shamli,11009,9394,9489,10933,10848,4919,10503,6472,8883,12780,10422,8431,9806,8809,8557,10532,9753,11857,12127,14615,18118,17085,20387,19719,22286,30403,28441,28714,26068,27640,30794
Shravasti,2724,2701,2629,3760,2816,2652,3407,3869,4302,5676,4519,3045,3562,3368,3473,5581,5269,5502,4558,7208,3489,4656,31265,35919,35992,45621,46669,49034,46677,47810,51716
Siddharth Nagar,2258,3170,3692,4695,3694,1752,2787,3720,4072,2858,2583,1855,3639,6392,6920,8926,6407,3462,9038,5374,3756,3446,36401,35675,41132,50667,74568,51859,46042,55900,56879
Sitapur,7223,6037,7615,9328,10735,5615,11429,8535,12535,12711,11979,5865,7634,8154,11165,22881,25125,16998,18318,18712,10507,11153,56831,58830,62386,78421,82472,86924,88570,90876,95977
Sonbhadra,14245,13903,14521,17020,16629,15142,18197,16698,18862,18752,19871,19028,20228,19057,16859,21013,18677,19226,22161,26578,25340,24160,64069,68642,64339,88210,91603,94396,84627,92880,102797
Sultanpur,9199,11743,10597,12529,12744,11343,11024,8889,7087,10190,6700,3822,3704,4161,3418,5231,2817,7398,11001,9767,11180,6462,31250,29847,32659,43506,44296,47348,48610,49173,51746
Unnao,10451,9803,11387,9761,11255,8459,13294,11125,15931,13130,10685,11510,11700,11852,11280,16259,17756,16458,16589,14490,14370,14642,52161,55736,58208,71033,73664,75906,75074,77155,82154
Varanasi,20046,20787,20389,22828,23027,21135,22556,22002,23933,24880,20708,19353,19365,19125,18769,20587,19889,23375,22059,21906,27863,24591,36419,36314,39748,52891,54263,55441,56242,59134,64396
Almora,899,1543,1541,2926,2942,1936,3042,5611,5112,3985,4088,6240,11051,3828,6788,11045,11381,7823,13574,12405,15931,16520,30079,30284,28397,32730,33155,34542,30099,32799,36701
Bageshwar,348,580,582,746,767,273,932,1533,1271,1031,1352,1727,3601,1184,1807,3006,2989,1692,4275,4297,4951,4307,12775,13823,12087,21943,21568,21145,14282,14958,16964
Chamoli,0,112,217,306,222,353,660,1500,2284,2669,1975,2412,4065,1252,2357,4859,4572,2993,5773,5831,6146,4545,33469,36138,30657,77973,74484,74665,31665,37007,39366
Chamoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,500,525,0,0,0
Champawat,0,77,92,111,162,35,151,323,211,84,104,244,645,452,589,703,675,429,1126,910,1701,1878,14225,15249,14092,16424,16062,17801,10129,16788,17038
Dehradun,12991,12488,12658,17317,18038,17551,19212,23330,24202,25673,26887,26698,31493,32376,33800,38439,34946,38162,41056,40540,44083,42354,51152,55491,54136,63258,60002,66791,61515,69473,76514
Garhwal,2159,3129,2994,4919,5704,4758,5929,9226,11918,12076,9959,11847,18790,10969,12369,15821,14763,11326,16178,20046,20605,20606,46753,49048,47842,59627,59843,58285,45075,60841,65350
Hardwar,11577,10659,9964,13064,12822,10255,13674,13157,14339,17801,20663,20092,24306,25431,27390,37253,37068,42430,39485,42583,47200,45868,58821,58649,58465,65766,61144,66974,63039,73371,77208
Nainital,4480,5948,5485,8077,7797,7981,8877,11962,11754,12750,13493,14080,17622,15941,18294,21729,22034,20050,23798,24783,26833,26960,44839,47512,44782,53037,49199,53483,44808,56469,58535
Pithoragarh,610,790,829,1204,1474,986,1360,2508,1916,1988,1789,2647,4432,2064,2507,3546,3066,2461,5757,4773,7126,7408,30216,32870,31778,70972,69202,65767,32607,30969,32479
Pithoragarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918,1829,1918,0,0,0
Rudraprayag,5,5,21,9,5,15,45,459,530,700,210,447,975,158,440,807,775,331,1233,1111,1747,1335,7707,8516,6840,12839,12443,12300,7308,8644,9130
Tehri Garhwal,2063,1994,2202,2911,3198,2796,4493,8715,10120,11387,8616,9216,13012,11380,13735,17064,17380,16545,19771,18452,23067,21703,41528,42126,38937,49467,48367,48355,42045,46854,50431
Udham Singh Nagar,17541,19949,19644,26132,26205,25804,26402,30909,30719,32609,33930,33857,38139,34745,37801,46009,49099,49964,44868,50501,55082,54738,67364,68039,65976,74993,69999,77760,75885,83921,87909
Uttarkashi,375,318,229,443,433,478,576,1395,1968,2060,1878,1954,3517,2991,3681,4814,5439,3342,4371,4610,3597,3333,27413,28485,24572,69377,66255,64271,28286,24853,33450
Uttarkashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9394,9092,9394,0,0,0
Alipurduar,3912,4509,3856,5124,6657,6935,7699,8897,10423,10866,11316,6724,11219,10922,8976,12833,11868,10554,12232,12993,13333,16719,26076,28987,25004,31133,31388,33403,31179,33893,36734
Bankura,12415,15568,17342,23883,28532,23250,26235,28049,33809,31191,39801,28653,38030,36386,32501,40445,39061,42190,31720,42625,41951,39453,80934,87866,81351,91882,91242,93103,93119,94227,97378
Barddhaman,61379,67205,63561,76277,77471,73658,77318,81742,85993,89672,92457,85209,96844,91490,82968,94547,92513,102577,94260,105059,110996,112424,139172,148440,145119,162190,162681,165685,169937,173006,176496
Birbhum,16825,20842,19137,22867,25760,23052,24327,26508,30847,32736,34652,30131,34997,33511,30386,33212,32547,31185,25141,31257,37658,40566,59898,64253,64246,76067,76098,78844,79036,81070,85069
Dakshin Dinajpur,2892,3175,3003,3039,5271,4453,3583,4466,4278,3497,5448,3751,6339,8997,7237,10000,9196,7928,8263,10770,15122,18200,23142,25322,23713,26013,26676,27827,28877,31736,32983
Darjiling,7345,7321,7704,10596,12222,12011,11735,14326,15842,15219,15291,11483,16700,17055,16291,20732,20922,21735,22866,22533,23984,25696,32804,35050,31044,39349,38275,40412,36805,40369,45374
Haora,19472,18918,19487,23388,21444,22275,23090,24699,26627,26567,26401,26324,29039,28918,27700,31113,31161,34246,32586,32704,38398,40248,38802,41629,39554,42624,43315,47229,47520,49676,52190
Hugli,34122,31268,31788,39429,38204,40247,39966,42194,45257,44988,45826,40979,45814,44799,41457,47967,46335,52163,47299,46191,53628,53888,54472,59800,54816,61310,63425,67511,67684,73540,79421
Jalpaiguri,7923,8866,7850,9944,12080,11777,12093,12959,15719,15282,16334,10612,17476,17250,14141,21295,20217,19521,21561,26521,27691,31016,40901,43691,41054,47649,47808,52941,51729,54717,59785
Koch Bihar,4600,4342,4278,5569,7158,8243,8809,8460,10102,8761,11712,6037,11240,11781,10509,15196,13733,11210,14574,13586,16332,24625,39552,43355,39172,43878,45053,48742,48598,49875,52348
Kolkata,7503,7548,7538,7549,7546,7439,7440,7439,7438,7440,7440,7440,7080,7306,7320,7320,7200,6844,6844,7308,7560,7560,7557,7559,7557,7556,7555,7559,7559,7559,7559
Maldah,8103,9660,9370,9159,13182,12332,10597,11917,13565,13049,15023,11353,17582,17906,14333,17918,17877,13529,13383,17300,19376,21945,41173,46497,44399,50464,49488,52385,54503,57758,61522
Murshidabad,18128,21099,19235,21837,24295,19658,19608,25437,27324,27214,29487,20142,32666,33787,28129,34096,35498,30915,33878,37813,44684,47212,71309,75092,71821,83031,81803,86798,91053,94824,99537
Nadia,23684,26186,25297,31449,30589,31408,31699,32857,32972,35855,35299,28162,37770,36275,30026,35733,36810,38133,36228,42319,44203,49015,55975,63188,58464,72822,67568,69859,71992,76976,80693
North 24 Parganas,34795,37710,35816,40654,41095,43494,44574,46196,45605,46956,47736,47039,55889,53736,49796,56807,55847,63152,57104,65314,68859,75768,83536,88645,82939,94937,93284,99097,97513,103637,106897
Pashchim Medinipur,13696,17230,19368,22120,27289,18936,26657,29096,31211,21633,38920,27501,43353,41529,36806,45529,38347,44649,38789,50810,54880,53284,105529,112572,107190,121952,126041,127514,127990,133938,142180
Purba Medinipur,9475,11986,14639,17713,18222,15304,20607,21627,26259,23724,28475,26065,31762,29590,27188,32995,31000,32902,33366,37027,44044,44885,57847,67501,59989,65967,67999,70002,70700,76989,79631
Puruliya,8289,9768,11956,14424,15517,10930,13347,12965,16240,11297,18545,14326,22067,20419,17339,21012,20738,20669,18166,22052,19621,20149,68136,72971,68868,77743,78387,77764,76706,76577,81246
South 24 Parganas,24779,27382,27797,32408,34420,34555,36451,38823,41241,41829,45054,40731,50312,46329,41924,52144,48328,55988,51381,58046,61631,68717,95013,105710,100495,112185,112967,124416,117597,122103,125026
Uttar Dinajpur,3913,4918,5361,6847,9454,8878,8610,9280,11607,11212,12251,9238,15386,17340,15653,21190,18640,18521,17907,23894,31523,35095,40585,44023,41615,45984,47867,50510,53928,55730,57675
