Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Munger,1225,1949,1497,2495,3894,2888,3048,3928,4527,4141,4881,3364,3769,4447,3470,4275,3539,3994,3428,3000,3063,3853,15020,17616,19466,20973,21301,23923,26363,27607,28407
Muzaffarpur,4626,5768,5686,7541,6511,6098,9895,6897,8482,8264,8172,8179,8959,11635,10200,9787,10801,10830,15059,12834,13869,22184,38591,42594,47374,57602,58026,77766,86625,88796,87970
Nalanda,1625,1963,1732,3363,3172,3909,5461,4583,5302,4658,4892,3582,4399,4438,5954,5847,5900,8489,9086,8079,9578,16046,31342,39006,47323,51133,53260,59273,61340,61835,65315
Nawada,841,1528,1492,2162,1767,2042,2543,1653,1819,1473,1739,1124,1126,1080,838,1137,1130,1210,2583,1708,1717,2945,20853,25865,28036,35028,37490,40948,44801,47909,50360
Pashchim Champaran,1312,1859,1645,2613,2698,2131,2630,2604,3138,2935,2839,3156,4292,3649,3289,3846,3442,3367,4444,4799,4791,9365,45215,42752,48804,64197,69338,73065,70539,75128,71925
Patna,13956,16942,15726,19956,19562,18012,18446,17935,20873,20071,22069,17920,20772,21702,22505,24392,24636,29844,32565,31841,33821,39152,65938,74112,77792,84267,88025,102684,108989,110296,114430
Purba Champaran,1257,1437,2537,3421,3843,3236,4624,3113,5057,4799,6113,6410,5343,6482,5840,4577,3577,2955,6995,5512,4761,9003,36351,39934,40692,53895,61035,77307,84537,87136,88555
Purnia,1111,2348,1742,3114,4670,5107,5364,4776,6507,6821,9264,5234,7104,7090,5759,9871,10411,7164,8264,9681,10011,13153,34553,37535,37461,43336,47213,57130,62339,61503,61106
Rohtas,2644,4510,3888,5348,4717,5242,7309,5725,7502,7233,9054,9651,11737,10417,8954,10423,10115,9497,13149,9569,11796,10021,40724,45243,48480,57430,74344,72014,69632,76927,80228
Saharsa,399,593,375,907,1258,1179,1974,1503,2092,2140,2902,1937,2084,2083,1967,1950,3599,1845,2902,3179,3265,6911,17401,21811,24349,27516,28845,32636,35117,35529,36013
Samastipur,1719,2905,2683,3790,4203,2588,4936,3359,4603,5105,6774,6033,5763,5839,4311,4138,4746,4394,6391,5811,7643,14096,29749,33052,35960,43991,43707,55670,63587,66839,68325
Saran,2417,3167,2604,3574,3942,2928,4769,3913,5417,5120,5143,5573,6003,7279,6433,5901,6826,6521,10614,7517,10917,19096,32987,35824,38239,48218,52764,75059,75350,69830,68939
Sheikhpura,73,393,208,1034,895,539,1114,916,1250,880,1303,694,883,647,524,1121,1141,1035,1131,1094,1036,1598,6282,7454,7954,9956,10924,12756,14855,15629,16784
Sheohar,28,64,50,185,357,137,366,110,138,305,311,186,184,350,222,142,361,116,440,312,202,1341,5343,5761,6163,8954,9702,12346,14820,15089,14501
Sitamarhi,744,1016,1271,1697,1965,1306,2024,1866,2395,2167,3074,1829,2433,2502,1808,1907,2236,1702,3012,2260,2407,4653,19203,20770,21109,26948,27566,36315,41138,43938,44244
Siwan,590,1112,975,2118,2145,1623,3178,1803,3166,2741,2235,4665,2917,4274,3824,2410,2674,2035,6303,3445,2537,8035,21665,23013,24561,33543,38734,53509,54298,49879,48550
Supaul,496,1358,1642,1171,2313,1560,2313,1589,2175,2545,3807,1790,2621,2216,3341,5925,5972,5364,5431,5403,4945,11433,23756,28298,29965,34540,34393,41759,45450,45854,45898
Vaishali,2418,4810,4210,5618,5870,3477,7071,4456,5707,5741,5688,5859,6748,8694,6200,7504,8498,7794,10492,9469,9142,13665,26197,31666,35663,39132,40951,53417,59571,61385,62722
Chandigarh,8566,8405,8394,8682,8491,8632,8901,9097,9123,9317,9213,9257,8747,9075,9170,9207,8966,8863,8865,9364,9607,9634,9302,9352,9370,9415,9394,9499,9488,9549,9648
Balod,4443,4118,4649,8237,7739,7696,8268,4971,8719,6973,9481,5942,11155,9990,7951,11116,11102,13307,11615,12819,14668,13950,24278,26349,22246,27265,28118,28586,27508,31078,32796
Baloda Bazar,7294,5242,8667,13996,13201,13027,14932,7253,12633,8526,17220,11704,20338,19055,10676,20163,24163,27214,26698,31371,33458,37193,61007,64438,59525,67114,67846,72947,69952,76687,77460
Balrampur,226,214,325,609,466,462,483,100,434,219,770,401,674,639,461,897,994,818,1118,1545,1618,1990,42152,43805,35243,58771,58674,61470,52515,59183,66599
Bastar,1632,1720,2072,3136,2380,2289,2859,2624,3333,2730,3875,2710,4288,4527,5349,4781,5445,7163,6200,8186,7360,10533,37117,43155,35536,54818,57457,57492,45259,52341,54062
Bemetara,3311,1423,3019,7708,5779,5935,10181,2786,7377,4384,12238,9129,17338,16657,11802,18014,21415,24495,22585,25659,28124,29941,35563,37422,35149,39099,40694,42819,42149,44818,47012
Bijapur,42,129,227,323,219,143,179,100,838,407,300,568,373,522,493,564,346,442,571,607,888,1435,41138,47157,31888,63932,67755,66801,29359,41797,53179
Bilaspur,11094,8772,12025,16290,16152,16157,18375,11953,18818,15803,24683,22409,31885,30795,25947,35635,38126,41132,40629,47557,50998,57617,88548,91907,88396,98299,98986,105779,104310,109993,110860
Dantewada,1807,2284,2448,3255,3116,2453,2882,3209,3669,3312,3627,3291,3850,3784,3700,4331,4447,4587,5033,5472,5617,5846,17275,23383,21086,29289,29366,30548,25084,25999,28368
Dhamtari,4832,4849,6220,8825,8700,8889,8916,5276,8253,6977,10358,8770,12674,12171,8677,12816,13093,17179,14174,15801,16674,17121,32548,35621,30211,39999,41331,40232,37580,41440,43864
Durg,23426,21213,24065,28831,29848,29350,30238,27593,33989,33478,35437,35188,41388,40249,36750,42784,44559,48775,47663,50987,54196,56023,56905,59664,54680,58405,60055,64150,67007,71973,75988
Gariaband,453,636,634,1438,1056,1195,1256,480,898,468,1262,774,1771,1716,574,2707,1574,2308,1557,2059,2858,2803,22858,30609,21555,36794,37333,34569,24540,32254,34292
Janjgir-Champa,9839,5386,9139,16369,15004,11726,15106,7295,13897,8620,19139,12106,25333,23197,18985,26127,29451,34774,33673,43652,49647,53815,69327,71307,62173,67481,67283,71746,72350,76833,79199
Jashpur,820,588,732,1050,1013,1159,1632,1097,1910,1510,2535,1433,2131,1960,1469,2942,3223,3204,3032,3959,4876,3621,44654,47688,41294,55468,55798,57893,53051,59723,63620
Kabeerdham,1220,879,1391,3693,2368,1855,4767,1546,3364,1399,6154,5510,12715,10892,7559,13429,16801,18316,16027,18332,21488,26757,45008,48371,44861,55181,55592,56236,49342,52415,54572
Kondagaon,403,611,508,780,595,610,836,679,798,606,792,771,1201,1224,989,1050,986,1315,1107,1236,1137,1619,23785,30920,21731,42585,44055,42776,33046,39317,41146
Korba,12699,12327,14025,16793,17111,16233,17712,17699,20988,19008,22825,20073,25127,23943,23282,28785,28994,31297,32618,37540,42300,43738,79283,82678,77028,96804,97914,100604,90183,99016,106128
Koriya,4732,4652,5176,6587,6835,6414,6972,6100,7637,6361,8774,7562,9527,8098,8289,10057,10405,9738,10021,11654,11585,12821,48052,45514,38284,67810,68619,70374,46309,58395,75166
Mahasamund,2936,2551,3508,8066,6343,7972,5954,3258,5177,3693,12930,5811,13704,10894,6595,13734,14960,18950,17644,22020,25867,26520,49492,53691,50895,58002,59254,62152,60747,65292,66521
Mungeli,2069,1091,2274,5104,3744,2918,4474,1224,2954,1489,5675,3454,10770,9700,5527,10834,12418,14639,12912,15452,16579,20309,33275,36076,35006,42304,43626,47091,41283,46245,47735
Narayanpur,166,206,154,278,239,231,261,258,274,253,343,221,366,361,301,332,321,328,298,363,361,593,12541,16040,17223,27875,28469,32351,12465,23442,22647
Raigarh,5600,5046,5919,11448,10890,10155,12902,9206,13358,11538,21101,15180,25420,25897,24780,33353,36562,40454,41445,48232,57381,58589,101809,105528,94116,103519,106036,108850,106622,113795,120105
Raipur,19720,17409,20975,29015,29417,27859,29718,26144,31540,27928,35055,31909,43004,42512,36248,46975,49487,56326,55407,62174,69212,74747,78796,83143,78707,81456,80623,89748,89937,95742,101423
Rajnandgaon,6080,5667,6800,13089,11678,11929,14874,8497,14987,10516,19273,14698,24469,22738,17427,27070,29384,30968,27277,33773,42844,42498,76134,81632,69583,85973,88065,88138,79758,89581,93938
Sukma,128,281,217,484,283,322,297,296,521,374,619,456,407,439,661,561,519,697,635,553,691,725,14526,24655,14065,33519,35020,33318,19113,25241,25079
Surajpur,2731,2161,3107,5200,5179,4479,5863,3327,6060,5030,7395,5054,5934,6309,5959,9658,8541,7815,8531,11816,13878,14617,46257,45544,40940,58929,57848,60742,50105,59148,65390
Surguja,1635,1547,1876,2708,2628,2571,2996,2051,3029,3035,4355,3498,4217,4426,4088,5891,5443,5540,5268,7036,7458,8949,33945,36179,34338,44033,44588,47975,42985,49178,52717
Uttar Bastar Kanker,1183,1409,1269,2665,2679,2485,2580,1699,3035,1912,4138,2421,4595,5262,5563,8117,5473,6262,5646,7297,9123,10515,51034,48112,39665,62209,65037,64216,49402,59135,65425
Dadra and Nagar Haveli,904,1748,1692,2742,3501,4024,4654,5173,5382,5835,6535,6490,8336,7682,7314,9826,10262,10638,10695,12354,12229,13129,15289,15517,15519,16161,16711,17159,16380,15848,16550
Daman,1110,1280,1388,1985,2240,2597,2488,2662,2963,3029,3316,3289,3376,3211,3218,3640,3688,3570,3648,3722,3857,4126,3808,3841,3848,3839,3871,3918,3798,3760,3962
Diu,379,349,442,450,483,658,529,582,577,627,778,663,793,720,721,695,710,802,810,773,817,866,517,679,700,842,892,995,840,826,922
North Goa,11807,13566,13969,16477,17112,15916,19176,19814,22352,24157,25584,26985,28839,29396,26552,29479,27996,31044,30653,32765,34085,34832,31973,32758,33346,35556,37922,41894,40309,41630,46651
South Goa,7384,9563,9861,11079,12089,11810,14588,13560,16469,17717,18927,19016,21569,20742,17970,21127,20105,22653,21502,23881,23273,24075,23771,23567,23341,28892,30887,32515,29021,29963,33475
Ahmadabad,44708,53630,51433,65722,64658,69205,68720,72673,78792,80587,82522,73966,77971,74817,67889,80636,75135,86077,84717,94593,95258,97965,121508,126525,124964,140608,148015,159181,158310,167028,182061
Amreli,20506,36223,33066,46054,45858,48992,51139,56757,62622,58184,58319,50018,52352,46761,39674,47482,45531,53076,45337,51960,58544,53803,70107,73435,71781,83144,84570,85419,81734,83753,91869
Anand,20257,21500,20802,26618,25948,28728,27789,29524,32087,31442,33758,29757,32005,29455,26175,31409,30123,35656,33063,35605,39763,38425,41704,44172,42091,48735,52243,55430,55612,60454,69961
Aravalli,8522,12622,11497,15514,15469,15958,16061,18134,21472,21992,23051,20243,22566,19059,13949,20088,15611,21856,15975,19332,17326,18721,31474,33286,31559,37034,39181,39785,40403,42879,46191
Banas Kantha,32349,38780,36723,46529,45592,49324,50848,57227,63815,59876,62650,58356,57952,43893,34571,49293,40352,62549,57209,63178,61846,65936,98046,105079,97859,124131,127314,132298,125414,134886,141889
Bharuch,42881,46311,52404,64592,68899,72333,78251,83205,83187,81180,80682,64385,60408,57789,53047,61260,62191,73227,69121,71284,79930,79469,96610,97856,94484,102875,103269,115464,116079,123655,135449
Bhavnagar,25412,35590,32808,45663,44977,49486,52356,58191,62744,60961,61721,51619,55860,49978,41875,51709,48614,56538,49222,55726,61045,59130,73527,75690,74328,86942,90447,93109,84782,92177,100831
