Dist Name,2007 (2004),2008 (2004),2009 (2004),2010 (2004),2011 (2004),2012 (2004),2013 (2004)
Chickmagalur,48000,48322,53386,58749,57822,58325,59863
Chitradurga,33847,33620,36034,36691,36151,36135,36797
Chittoor,108100,114237,119194,135986,146000,152005,158036
Chittorgarh,35054,37753,37201,46220,50633,52861,55067
Churu,31647,33656,35405,41645,45220,48494,52369
Coimbatore,201649,210155,244525,273313,290738,298932,315979
Cooch Behar,49232,52281,63891,58754,61160,64520,68873
Cuttack,78034,84983,87480,94679,97757,106276,115313
Dakshina Kannada,115700,120943,119278,129276,131013,136285,141097
Damoh,16614,17698,18974,20027,21330,22760,24449
Dangs,8482,9064,8731,9115,8490,8649,9282
Darbhanga,32869,36433,38698,43915,48990,56772,61553
Darjeeling,74963,78112,83780,88480,90732,93504,95564
Darrang,12387,12884,14485,16113,16348,17289,18046
Datia,9566,10325,10757,11463,12468,13584,15054
Deoria,33069,35916,38746,43156,46141,49643,52378
Dewas,34778,39096,44023,45409,48983,53962,61471
Dhanbad,88333,88590,99851,114072,121314,128022,137349
Dhar,43150,48921,52896,56217,61426,68536,78102
Dharwad,65194,68388,66327,72927,75430,78659,81534
Dhenkanal,28077,30137,31488,34176,37077,40692,43143
Dhule,50123,49004,55919,61663,63181,66907,71995
Dibrugarh,64631,69105,73001,81610,85110,89025,93727
Dungarpur,19777,21285,24517,25743,26449,27434,28382
Durg,94356,100565,102526,116037,117455,126213,133767
East Godavari,179369,188074,194207,218646,229932,239479,248906
Eranakulam,249804,265917,285947,308925,342527,366687,401142
Etah,21497,23320,24011,21749,22875,24180,25309
Etawah,22542,24492,26307,30043,31463,32749,33826
Faizabad,35398,36250,36648,39640,41578,43114,44520
Farrukhabad,25073,27792,30436,28647,30066,31215,32264
Fatehpur,30619,32396,33729,35299,37580,39221,40754
Ferozpur,79252,85538,84386,90177,98114,104247,113313
Ganganagar,67828,75454,81920,91665,94638,98261,102533
Ganjam,79355,85030,89835,98295,100986,108517,113333
Garhwal,18179,20172,23290,26311,29148,31900,34775
Gaya,30182,33462,35533,40371,44364,50973,55324
Ghazipur,38037,41431,43519,46962,50296,53934,57481
Goalpara,14407,15554,16640,17244,17850,18426,19705
Gonda,36007,39469,42424,44520,47364,51062,53908
Gorakhpur,64786,69454,77605,79754,83176,86855,89377
Gulbarga / Kalaburagi,58856,59428,55278,61130,58566,59857,62138
Guna,15189,17680,21526,23148,25767,28416,32002
